question_id,question,options,answer
2013-8M7 #7 M168201,Which of the following geometric solids has both of the properties listed? The base is a polygon with 4 sides of equal length. The other faces of the solid meet at a common vertex.,"{'A': 'Cone', 'B': 'Cube', 'C': 'Rectangular prism', 'D': 'Right cylinder', 'E': 'Square pyramid'}",E
2013-8M7 #8 M166101,"Helga’s process of calculating the tip to leave in a restaurant starts with the bill for food and drink. First, she rounds the bill to the nearest ten cents. Then she moves the decimal point in the rounded total one place to the left. Finally, she doubles that amount. Helga’s process calculates approximately what percent of the original bill?","{'A': '2%', 'B': '5%', 'C': '10%', 'D': '15%', 'E': '20%'}",E
2013-8M7 #13 M164801,The ratio of boys to girls to adults at a school party was 6:5:2. There were 78 people at the party. How many of them were adults?,"{'A': '6', 'B': '12', 'C': '18', 'D': '30', 'E': '36'}",B
2009-8M5 #8 M046301,"A loaded trailer truck weighs 26,643 kilograms. When the trailer truck is empty, it weighs 10,547 kilograms. About how much does the load weigh?","{'A': '14,000 kilograms', 'B': '16,000 kilograms', 'C': '18,000 kilograms', 'D': '36,000 kilograms'}",B
2009-8M5 #9 M047001,"Marty has 6 red pencils, 4 green pencils, and 5 blue pencils. If he picks out one pencil without looking, what is the probability that the pencil he picks will be green?","{'A': '1 out of 3', 'B': '1 out of 4', 'C': '1 out of 15', 'D': '4 out of 15'}",D
2009-4M10 #1 M137201,301–,"{'A': '75', 'B': '226', 'C': '235', 'D': '236'}",A
2009-4M10 #3 M137401,"Michelle has a container with 3 quarts of juice. She pours 1 cup of juice for each person. At most, how many people can she serve? (1 quart = 4 cups)","{'A': '4', 'B': '7', 'C': '8', 'D': '12'}",D
2009-4M10 #6 M137701,It takes Ms. Wylie 15 minutes to drive from her house to the store. Which is the best estimate of the distance from her house to the store?,"{'A': '5 feet', 'B': '5 miles', 'C': '20 feet', 'D': '200 miles'}",B
2009-8M5 #16 M051501,Which of the following is always an odd integer?,"{'A': 'The product of two odd integers', 'B': 'The product of two consecutive integers', 'C': 'The sum of three even integers', 'D': 'The sum of two odd integers', 'E': 'The sum of three consecutive integers'}",A
2009-8M10 #1 M142001,Which of the following equations has the same solution as the equation 2x + 6 = 32 ?,"{'A': '2x = 38', 'B': 'x - 3 = 16', 'C': 'x + 6 = 16', 'D': '2(x - 3) = 16', 'E': '2(x + 3) = 32'}",E
2009-8M10 #2 M142101,Megan drew a rectangle that has an area of 24 square centimeters. Which of the following could be the dimensions of her rectangle?,"{'A': '2 centimeters by 12 centimeters', 'B': '3 centimeters by 9 centimeters', 'C': '4 centimeters by 20 centimeters', 'D': '6 centimeters by 6 centimeters', 'E': '12 centimeters by 12 centimeters'}",A
2009-8M10 #4 M142301,In which of the following numbers is the digit 6 in the hundredths place?,"{'A': '682.3', 'B': '382.6', 'C': '6.832', 'D': '4.836', 'E': '2.862'}",E
2009-8M10 #8 M142701,"The length of a rectangle is 3 feet less than twice the width, w (in feet). What is the length of the rectangle in terms of w ?","{'A': '3 - 2w', 'B': '2(w + 3)', 'C': '2(w - 3)', 'D': '2w + 3', 'E': '2w - 3'}",E
2009-8M10 #11 M143001,"For a school report, Luke contacted a car dealership to collect data on recent sales. He asked, ""What color do buyers choose most often for their car?"" White was the response. What statistical measure does the response ""white"" represent?","{'A': 'Mean', 'B': 'Median', 'C': 'Mode', 'D': 'Range', 'E': 'Interquartile range'}",C
2005-8M4 #9 M067801,"Alba needed to know about how much the sum of 19.6, 23.8, and 38.4 is. She correctly rounded each of these numbers to the nearest whole number. What three numbers did she use?","{'A': '19, 23, 38', 'B': '19, 24, 38', 'C': '20, 24, 38', 'D': '20, 24, 39'}",C
2005-4M12 #1 M099701,"Which of these is equal to 8,000+800+8?","{'A': '8,088', 'B': '8,808', 'C': '8,880', 'D': '8,888'}",B
2005-4M12 #2 M099801,46-16=,"{'A': '3', 'B': '36', 'C': '30', 'D': '56'}",B
2005-4M12 #3 M099901,24÷(6÷2)=,"{'A': '8', 'B': '6', 'C': '3', 'D': '2'}",A
2005-4M12 #4 M100001,There are 30 people in the music room. There are 74 people in the cafeteria. How many more people are in the cafeteria than the music room?,"{'A': '40', 'B': '44', 'C': '54', 'D': '104'}",B
2005-4M12 #5 M100101,Which of these could be measured using a meter stick?,"{'A': 'The length of a swimming pool', 'B': 'The temperature of the water in a swimming pool', 'C': 'The weight of the water in a swimming pool', 'D': 'The number of people in a swimming pool'}",A
2005-4M12 #7 M100301,Jo's recipe says to bake a cake for 25-28 minutes. About how long is this?,"{'A': 'A quarter of an hour', 'B': 'Half an hour', 'C': 'An hour', 'D': 'An hour and a half'}",B
2005-4M12 #8 M100401,Luis had two apples and he cut each apple into fifths. How many pieces of apple did he have?,"{'A': '25', 'B': '2', 'C': '5', 'D': '10'}",D
2005-4M12 #10 M100601,"In a gumball machine there are 100 red, 75 blue, 50 green, and 125 yellow gumballs. These 350 gumballs are mixed up. Sam puts money in and one gumball comes out. Which color is most likely to come out?","{'A': 'Red', 'B': 'Blue', 'C': 'Green', 'D': 'Yellow'}",D
2005-4M12 #12 M100801,N stands for the number of hours of sleep Ken gets each night. Which of the following represents the number of hours of sleep Ken gets in 1 week?,"{'A': 'N+7', 'B': 'N-7', 'C': 'N×7', 'D': 'N÷7'}",C
2005-4M12 #16 M101201,Sue bought a notebook for $3.59. She gave the clerk a $5 bill. Which of these is the correct amount of change?,"{'A': 'One dollar, four dimes, and a penny', 'B': 'One dollar, five dimes, and a penny', 'C': 'Two dollars, four dimes, and a penny', 'D': 'Two dollars, five dimes, and nine pennies'}",A
2005-8M3 #5 M066201,Ravi has more tapes than magazines. He has fewer tapes than books. Which of the following lists these items from the greatest in number to the least in number?,"{'A': 'Books, magazines, tapes', 'B': 'Books, tapes, magazines', 'C': 'Magazines, books, tapes', 'D': 'Tapes, magazines, books'}",B
2005-8M3 #7 M046201,Amanda wants to paint each face of a cube a different color. How many colors will she need?,"{'A': 'Three', 'B': 'Four', 'C': 'Six', 'D': 'Eight'}",C
2005-8M3 #8 M066401,Which piece of information is NOT needed to solve the problem below? You do not have to solve the problem. Carlos is planning to buy food for his 2 dogs. The food he buys must last for 4 weeks. Each dog eats 1 can of dog food and 3 dog biscuits every day. How many cans of dog food does Carlos need to buy?,"{'A': 'Carlos has 2 dogs.', 'B': 'The food must last 4 weeks.', 'C': 'Each dog eats 1 can of dog food every day.', 'D': 'Each dog eats 3 biscuits every day.'}",D
2005-8M3 #10 M067401,"In the equation y = 4x, if the value of x is increased by 2, what is the effect on the value of y ?","{'A': 'It is 8 more than the original amount.', 'B': 'It is 6 more than the original amount.', 'C': 'It is 2 more than the original amount.', 'D': 'It is 16 times the original amount.', 'E': 'It is 8 times the original amount.'}",A
2005-8M3 #16 M086001,The mean distance from Venus to the Sun is 1.08 X 108 kilometers. Which of the following quantities is equal to this distance?,"{'A': '10,800,000 kilometers', 'B': '108,000,000 kilometers', 'C': '1,080,000,000 kilometers', 'D': '10,800,000,000 kilometers', 'E': '108,000,000,000 kilometers'}",B
2005-8M3 #17 M051901,There were 90 employees in a company last year. This year the number of employees increased by 10 percent. How many employees are in the company this year?,"{'A': '9', 'B': '81', 'C': '91', 'D': '99', 'E': '100'}",D
2005-8M12 #1 M109801,What is 4 hundredths written in decimal notation?,"{'A': '0.004', 'B': '0.04', 'C': '0.400', 'D': '4.00', 'E': '400.0'}",B
2005-8M12 #2 M110001,A rectangular playground has a perimeter of 390 feet. The width of the playground is 75 feet. What is its length?,"{'A': '5.2 feet', 'B': '97.5 feet', 'C': '120 feet', 'D': '130 feet', 'E': '240 feet'}",C
2005-8M12 #3 M110101,Which of the following is equal to 6(x+6)>?,"{'A': 'x + 12', 'B': '6x + 6', 'C': '6x + 12', 'D': '6x + 36', 'E': '6x + 66'}",D
2005-8M12 #6 M110401,"The prices of gasoline in a certain region are $1.41, $1.36, $1.57, and $1.45 per gallon. What is the median price per gallon for gasoline in this region?","{'A': '$1.41', 'B': '$1.43', 'C': '$1.44', 'D': '$1.45', 'E': '$1.47'}",B
2005-8M12 #9 M110701,"The endpoints of a line segment are the points with coordinates (2, 1) and (8, 9). What are the coordinates of the midpoint of this line segment?","{'A': '(2, 3½)', 'B': '(3, 4)', 'C': '(5, 5)', 'D': '(4½, 5½)', 'E': '(10, 10)'}",C
2005-8M12 #11 M110901,"Ms. Thierry and 3 friends ate dinner at a restaurant. The bill was $67. In addition, they left a $13 tip. Approximately what percent of the total bill did they leave as a tip?","{'A': '10%', 'B': '13%', 'C': '15%', 'D': '20%', 'E': '25%'}",D
2005-8M12 #13 M111201,"1, 9, 25, 49, 81, ...The same rule is applied to each number in the pattern above.  What is the 6th number in the pattern?","{'A': '40', 'B': '100', 'C': '121', 'D': '144', 'E': '169'}",C
2005-8M12 #15 M111401,"One of the acute angles in a right triangle measures 28 degrees. What is the measure, in degrees, of the other acute angle?","{'A': '17°', 'B': '28°', 'C': '62°', 'D': '90°', 'E': '152°'}",C
2005-12M3 #8 M094901,The cost to mail a first-class letter is 33 cents for the first ounce. Each additional ounce costs 22 cents. (Fractions of an ounce are rounded up to the next whole ounce.) How much would it cost to mail a letter that weighs 2.7 ounces?,"{'A': '55 cents', 'B': '66 cents', 'C': '77 cents', 'D': '88 cents', 'E': '99 cents'}",C
2005-12M3 #10 M011331,"If a 2 by 18 rectangle has the same area as a square, what is the length of a side of the square?","{'A': '4', 'B': '6', 'C': '8', 'D': '10', 'E': '12'}",B
2005-12M3 #13 M094801,"In a school fund-raiser, 10 students in class A sold an average (arithmetic mean) of 4 boxes of cookies. In class B, 15 students sold an average of 9 boxes. What was the average number of boxes of cookies sold by the 25 students?","{'A': '1325', 'B': '1', 'C': '612', 'D': '7', 'E': '13613'}",D
2005-12M4 #4 M071601,"Easy Ride Van Company finds that about 40 percent of the time a person who makes an advance reservation for transportation does not keep the reservation. Therefore, for each of their 10-passenger vans, the Easy Ride Van Company schedules 13 persons on the basis of advance reservations. Based on the information above, about how many riders out of the 13 scheduled would not keep their reservations?","{'A': '1', 'B': '3', 'C': '5', 'D': '7', 'E': '9'}",C
2005-12M4 #9 M059001,"If the digit in the tens place of 37,241 is increased by one and the digit in the thousands place is decreased by one, how has the number been changed?","{'A': 'The number has been decreased by 990.', 'B': 'The number has been decreased by 1,000.', 'C': 'The number has been decreased by 1,010.', 'D': 'The number has been increased by 10.', 'E': 'The number has been increased by 1,010.'}",A
2005-12M4 #11 M053201,"In the solution of the system of equations above, what is the value of x ?","{'A': '- 1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",C
2005-12M4 #14 M059601,The remainder when a number n is divided by 7 is 2. Which of the following is the remainder when 2n + 1 is divided by 7?,"{'A': '1', 'B': '2', 'C': '3', 'D': '4', 'E': '5'}",E
2005-12M4 #16 M019401,What are all values of x such that x2+7x+6≥0 ?,"{'A': '-6≤x≤-1', 'B': '-6≤x≤1', 'C': '1≤x≤6', 'D': 'x≤-6 or x≥-1', 'E': 'x≤1 or x≥6'}",D
2005-12M12 #5 M127501,The first term in a sequence of numbers is 12. Each term after the first term is 1 more than twice its previous term. What is the 4th term?,"{'A': '2', 'B': '4', 'C': '5', 'D': '11', 'E': '23'}",D
2005-12M12 #6 M133101,"Rosa is twice as old as Byron. Fred is one year older than Byron. If Fred's age is represented by F, which of the following represents the ages of Rosa and Byron, respectively?","{'A': '12(F-1) and F-1', 'B': '12(F+1) and F+1', 'C': '2(F-1) and F-1', 'D': '2(F+1) and F+1', 'E': '2F and F-1'}",C
2005-12M12 #9 M130001,A particular flu vaccine is effective for 90 percent of the patients who receive it. What is the probability that it will be effective for both of the next two randomly selected patients?,"{'A': '0.54', 'B': '0.63', 'C': '0.72', 'D': '0.81', 'E': '0.90'}",D
2005-12M12 #10 M127901,"An election involving four candidates for mayor has been held. Of the following, which is the best way to present the percentage of votes each candidate received?","{'A': 'Circle graph', 'B': 'Line graph', 'C': 'Box plot', 'D': 'Scatterplot', 'E': 'Histogram'}",A
2005-12M12 #13 M135301,"The town of Mayville taxes property at a rate of $42 for each $1,000 of estimated value. What is the estimated value of a property on which the owner owes $5,250 in property tax?","{'A': '$42,000', 'B': '$47,250', 'C': '$125,000', 'D': '$220,500', 'E': '$5,250,000'}",C
2005-12M12 #14 M127001,The number of bacteria present in a laboratory sample after t days can be represented by 500(2t). What is the initial number of bacteria present in this sample?,"{'A': '250', 'B': '500', 'C': '750', 'D': '1,000', 'E': '2,000'}",B
2005-12M12 #15 M135401,"A cat lies crouched on level ground 50 feet away from the base of a tree. The cat can see a bird's nest directly above the base of the tree. The angle of elevation from the cat to the bird's nest is 40°. To the nearest foot, how far above the base of the tree is the bird's nest?","{'A': '32', 'B': '38', 'C': '42', 'D': '60', 'E': '65'}",C
2005-12M12 #17 M130101,"Yvonne has studied the cost of tickets over time for her favorite sports team. She has created a model to predict the cost of a ticket in the future. Let C represent the cost of a ticket in dollars and y represent the number of years in the future. Her model is as follows.C=2.50y+13Based on this model, how much will the cost of a ticket increase in two years?","{'A': '$5', 'B': '$8', 'C': '$13', 'D': '$18', 'E': '$26'}",A
